prop_id,srch_destination_id,time_idx,srch_length_of_stay,srch_room_count,srch_saturday_night_bool,prop_location_score1,prop_location_score2,prop_log_historical_price,prop_review_score,prop_starrating,random_bool,position,price_usd,promotion_flag,gross_bookings_usd,booking_bool,click_bool,comp_rate,comp_inv
58920,2,1,2,1,0,-0.935074215,-0.514658802,0.544773634,4,4,0,19,1.445490733,0,-0.131147362,0,0,0,0
58920,2,2,2,1,1,-0.935074215,-0.514658802,-2.418289623,4,4,1,18,1.36384841,0,-0.131147362,0,0,0,0
28521,41,1,5,2,0,-0.523320531,-0.085362484,0.189649948,4,3,0,4,-0.994208423,1,-0.131147362,0,0,0,0
135370,231,1,4,1,0,-0.732181095,-0.779168572,-0.182120161,4,4,0,30,0.294880875,1,-0.131147362,0,0,0,0
135370,231,2,7,1,0,-0.732181095,-0.779168572,0.528127211,4,4,1,22,2.148239717,1,-0.131147362,0,0,0,0
135370,231,3,4,1,1,-0.732181095,-0.779168572,-0.237608237,4,4,0,15,0.228473245,1,-0.131147362,0,0,0,0
135370,231,4,7,2,0,-0.732181095,-0.779168572,0.522578404,4,4,1,14,-1.276440853,1,-0.131147362,0,0,1,0
135370,231,5,7,3,0,-0.732181095,-0.779168572,0.522578404,4,4,1,14,-1.276440853,1,-0.131147362,0,0,1,0
135370,231,6,6,3,0,-0.732181095,-0.779168572,0.522578404,4,4,1,25,-1.276440853,1,-0.131147362,0,0,1,0
135370,231,7,1,2,1,-0.732181095,-0.779168572,0.494834366,4,4,0,28,-1.033271735,1,-0.131147362,0,0,0,0
135370,231,8,3,1,1,-0.732181095,-0.779168572,0.489285558,4,4,0,31,-1.015888561,1,-0.131147362,0,0,0,0
92155,255,1,5,1,0,1.571252555,1.859848448,0.589164095,3,4,0,15,1.801943455,0,-0.131147362,0,0,0,0
18283,266,1,1,1,0,-0.935074215,1.234754094,0.616908133,4,3,0,3,1.637291595,0,-0.131147362,0,0,0,0
18283,266,2,1,1,0,-0.935074215,1.234754094,0.622456941,4,3,1,3,1.763466093,0,-0.131147362,0,0,0,0
18283,266,3,4,1,0,-0.935074215,1.234754094,0.622456941,4,3,0,1,1.702527326,0,-0.131147362,0,0,0,0
18283,266,4,2,1,0,-0.935074215,1.234754094,0.622456941,4,3,0,1,1.321464717,0,-0.131147362,0,0,-1,0
87033,313,1,3,1,1,-0.935074215,0.160297164,0.056478566,3.5,3,0,1,-1.423904856,0,-0.131147362,0,0,0,0
87033,313,2,2,1,1,-0.935074215,0.160297164,0.106417834,3.5,3,0,1,-1.345778232,0,-0.131147362,0,0,-1,0
87033,313,3,1,1,0,-0.935074215,0.160297164,0.106417834,3.5,3,0,1,-1.325269993,0,-0.131147362,0,0,-1,0
11934,408,1,6,1,0,1.069987201,1.055373905,0.311723715,3.5,3,1,14,-0.134815557,1,-0.131147362,0,0,0,0
11934,408,2,2,1,1,1.069987201,1.055373905,0.311723715,3.5,3,1,8,-0.634240002,1,-0.131147362,0,1,0,0
11934,408,3,2,1,0,1.069987201,1.055373905,0.328370138,3.5,3,0,1,0.239606289,1,-0.131147362,0,0,-1,0
11934,408,4,1,1,1,1.069987201,1.055373905,0.328370138,3.5,3,1,2,-0.589121877,1,-0.131147362,0,0,0,0
11934,408,5,5,1,0,1.069987201,1.055373905,-2.418289623,3.5,3,0,22,-1.248119951,0,-0.131147362,0,0,0,0
52435,442,1,2,1,1,0.174870497,-0.144953191,0.444895097,4,3,1,12,-0.87057304,0,-0.131147362,0,0,0,0
52435,442,2,2,1,0,0.174870497,-0.144953191,0.383858214,4,3,0,16,-0.886198365,0,-0.131147362,0,0,0,0
52435,442,3,1,1,1,0.174870497,-0.144953191,0.389407022,4,3,0,10,-0.853775816,0,-0.131147362,0,0,0,0
52435,442,4,4,1,0,0.174870497,-0.144953191,0.450443905,4,3,0,9,-0.715101058,0,-0.131147362,0,0,-1,0
52435,442,5,2,2,1,0.174870497,-0.144953191,0.450443905,4,3,0,8,-0.799477812,0,3.830875067,1,1,0,0
52435,442,6,2,1,1,0.174870497,-0.144953191,0.444895097,4,3,1,4,0.485314522,0,-0.131147362,0,0,-1,0
52435,442,7,2,1,1,0.174870497,-0.144953191,0.444895097,4,3,0,12,-0.571738703,0,-0.131147362,0,0,0,0
52435,442,8,1,1,0,0.174870497,-0.144953191,0.444895097,4,3,0,16,-0.810024907,0,-0.131147362,0,0,0,0
52435,442,9,1,1,1,0.174870497,-0.144953191,0.444895097,4,3,0,7,0.528479482,0,-0.131147362,0,0,0,0
52435,442,10,5,1,0,0.174870497,-0.144953191,0.444895097,4,3,1,10,1.24236151,0,-0.131147362,0,0,0,0
52435,442,11,4,1,0,0.174870497,-0.144953191,0.43934629,4,3,0,12,0.258551995,0,-0.131147362,0,0,0,0
52435,442,12,8,1,0,0.174870497,-0.144953191,0.433797482,4,3,1,1,1.193727686,0,-0.131147362,0,1,0,0
52435,442,13,1,1,1,0.174870497,-0.144953191,-2.418289623,4,3,0,19,-0.46685371,0,-0.131147362,0,0,0,0
52435,442,14,3,1,1,0.174870497,-0.144953191,-2.418289623,4,3,0,21,0.014406295,0,-0.131147362,0,0,-1,0
95879,508,1,1,1,0,-0.654604314,0.433927962,-0.015655933,4,3,0,16,-1.169993327,0,-0.131147362,0,0,0,0
99616,724,1,1,1,1,-0.022055177,-0.666675911,0.16190591,4,3,0,15,-0.134815557,0,-0.131147362,0,0,0,0
38680,776,1,7,1,0,-0.320427412,0.835253131,0.999775857,4.5,4,0,2,1.327128897,1,-0.131147362,0,0,0,0
60377,899,1,2,1,0,-0.935074215,0.231441172,0.04538095,4,3,0,8,-0.902019006,0,-0.131147362,0,0,-1,0
25601,980,1,1,1,0,0.932735973,0.55919006,0.522578404,4,4,0,2,0.353475844,1,-0.131147362,0,0,-1,0
25601,980,2,4,1,1,0.932735973,0.55919006,0.533676019,4,4,0,8,-0.639513549,0,-0.131147362,0,0,0,0
25601,980,3,1,1,1,0.932735973,0.55919006,0.533676019,4,4,0,1,2.734189398,1,-0.131147362,0,0,1,0
25601,980,4,1,2,0,0.932735973,0.55919006,0.533676019,4,4,0,3,0.4025003,1,-0.131147362,0,0,0,0
25601,980,5,1,1,0,0.932735973,0.55919006,0.533676019,4,4,0,1,0.401328401,1,-0.131147362,0,0,0,0
138293,1063,1,3,1,0,-1.066357998,3.221921749,0.228491601,4.5,3,0,1,-0.66217027,0,3.217718192,1,1,-1,0
138293,1063,2,1,1,0,-1.066357998,3.221921749,0.228491601,4.5,3,0,1,-0.798891863,0,-0.131147362,0,0,-1,0
138293,1063,3,2,1,1,-1.066357998,3.221921749,0.228491601,4.5,3,1,1,-0.798891863,0,-0.131147362,0,0,-1,0
138293,1063,4,2,1,1,-1.066357998,3.221921749,0.228491601,4.5,3,0,1,-0.798891863,0,2.064833371,1,1,0,0
138293,1063,5,3,1,1,-1.066357998,3.221921749,0.256235639,4.5,3,0,1,-0.27153715,0,4.370805575,1,1,0,0
138293,1063,6,3,1,0,-1.066357998,3.221921749,0.256235639,4.5,3,1,2,-0.798891863,0,-0.131147362,0,1,0,0
138293,1063,7,1,1,1,-1.066357998,3.221921749,0.256235639,4.5,3,0,1,-0.798891863,0,0.91194855,1,1,0,0
138293,1063,8,1,1,1,-1.066357998,3.221921749,0.256235639,4.5,3,0,1,-0.798891863,0,0.912151113,1,1,0,0
138293,1063,9,1,1,0,-1.066357998,3.221921749,0.256235639,4.5,3,0,1,-0.416266721,0,1.13172893,1,1,0,0
138293,1063,10,2,1,0,-1.066357998,3.221921749,0.256235639,4.5,3,0,1,-0.505917022,0,-0.131147362,0,0,-1,0
138293,1063,11,5,1,0,-1.066357998,3.221921749,0.261784447,4.5,3,1,4,0.3730075,0,-0.131147362,0,0,0,0
138293,1063,12,4,1,0,-1.066357998,3.221921749,0.261784447,4.5,3,0,1,-0.310600462,0,-0.131147362,0,0,0,0
138293,1063,13,1,1,1,-1.066357998,3.221921749,0.261784447,4.5,3,0,2,-0.603575302,0,-0.131147362,0,0,0,0
138293,1063,14,1,1,0,-1.066357998,3.221921749,-2.418289623,4.5,3,0,1,-0.408258742,0,-0.131147362,0,0,0,0
138293,1063,15,4,1,1,-1.066357998,3.221921749,-2.418289623,4.5,3,1,3,-0.310600462,0,-0.131147362,0,0,0,0
26721,1104,1,1,1,0,-1.895832809,3.390964775,0.222942794,4.5,3,0,1,-0.720765238,0,-0.131147362,0,0,0,0
26721,1104,2,1,1,1,-1.895832809,3.390964775,0.27843087,4.5,3,0,1,-1.091866703,0,0.785144386,1,1,1,0
40815,1228,1,1,1,1,-0.732181095,3.02308337,0.43934629,4.5,4,0,1,-0.017625621,0,-0.131147362,0,0,0,0
128632,1238,1,2,1,1,1.075954645,2.379138894,0.622456941,4.5,4,0,2,1.319511551,1,-0.131147362,0,0,0,0
128632,1238,2,5,1,0,1.075954645,2.379138894,0.622456941,4.5,4,0,3,1.330058645,1,-0.131147362,0,0,0,0
128632,1238,3,2,1,1,1.075954645,2.379138894,0.622456941,4.5,4,1,19,0.307381135,1,-0.131147362,0,0,0,0
128632,1238,4,1,1,0,1.075954645,2.379138894,0.622456941,4.5,4,0,2,0.69781894,1,-0.131147362,0,0,0,0
128632,1238,5,1,1,0,1.075954645,2.379138894,0.622456941,4.5,4,0,1,0.721452243,1,1.616764984,1,1,0,0
128632,1238,6,1,1,0,1.075954645,2.379138894,0.622456941,4.5,4,0,1,2.012885341,0,-0.131147362,0,0,0,0
128632,1238,7,2,1,0,1.075954645,2.379138894,0.622456941,4.5,4,1,6,1.699988211,0,-0.131147362,0,0,0,0
128632,1238,8,1,1,1,1.075954645,2.379138894,0.622456941,4.5,4,0,1,0.079642026,1,2.157505743,1,1,0,0
128632,1238,9,6,1,0,1.075954645,2.379138894,0.622456941,4.5,4,1,3,0.851533073,1,-0.131147362,0,1,0,0
128632,1238,10,3,1,0,1.075954645,2.379138894,0.622456941,4.5,4,0,10,0.308553035,1,-0.131147362,0,0,0,0
128632,1238,11,3,1,1,1.075954645,2.379138894,0.622456941,4.5,4,0,1,2.667586451,1,8.769350325,1,1,0,0
128632,1238,12,1,1,1,1.075954645,2.379138894,0.622456941,4.5,4,0,1,1.474397584,1,2.252811428,1,1,0,0
128632,1238,13,1,1,0,1.075954645,2.379138894,0.622456941,4.5,4,0,1,0.472814262,1,1.760179278,1,1,0,0
128632,1238,14,3,1,0,1.075954645,2.379138894,0.622456941,4.5,4,0,1,1.385333232,1,-0.131147362,0,0,-1,0
128632,1238,15,7,1,0,1.075954645,2.379138894,0.622456941,4.5,4,1,8,2.68809469,1,-0.131147362,0,0,0,0
128632,1238,16,8,1,0,1.075954645,2.379138894,0.622456941,4.5,4,0,2,0.306795186,1,46.24139864,1,1,0,0
